"YEAR";"HABITAT";"ESPECE";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
1991;"Terrestre";"CARINA";"Court";0;0;0;0;0
1992;"Terrestre";"CARINA";"Court";0;0;0;0;0
1993;"Terrestre";"CARINA";"Court";0;0;0;0;0
1994;"Terrestre";"CARINA";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
1996;"Terrestre";"CARINA";"Court";0;0;0;0;0
1997;"Terrestre";"CARINA";"Court";0,0125;0,125;0,25;0,375;0,4875
1998;"Terrestre";"CARINA";"Court";0;0;0;0;0
1999;"Terrestre";"CARINA";"Court";0,5;0,5;0,5;0,5;0,5
2000;"Terrestre";"CARINA";"Court";0;0;0;0,05;0,185
2001;"Terrestre";"CARINA";"Court";0,0125;0,125;0,25;0,375;0,4875
2002;"Terrestre";"CARINA";"Court";0;0;0;0,1875;2,60625
2003;"Terrestre";"CARINA";"Court";0;0;0,0555555555555556;0,275;0,9125
2004;"Terrestre";"CARINA";"Court";0;0;0,1;0,541666666666667;1,16309523809524
2005;"Terrestre";"CARINA";"Court";0;0;0;0,6;1,75
2006;"Terrestre";"CARINA";"Court";0;0,25;0,6;0,875;1
2007;"Terrestre";"CARINA";"Court";0;0;0,25;0,569444444444444;4,26111111111111
2008;"Terrestre";"CARINA";"Court";0;0;0;0,375;1,685
2009;"Terrestre";"CARINA";"Court";0;0;0,3;0,5;1,23333333333333
2010;"Terrestre";"CARINA";"Court";0;0;0,05;0,270833333333333;0,7
2011;"Terrestre";"CARINA";"Court";0;0;0,3;0,645833333333333;1,46041666666667
2012;"Terrestre";"CARINA";"Court";0;0;0;0,3;2,97826086956522
2013;"Terrestre";"CARINA";"Court";0;0;0;0,2;0,923809523809524
2014;"Terrestre";"CARINA";"Court";0;0;0;0,107142857142857;1,10267857142857
2015;"Terrestre";"CARINA";"Court";0;0;0;0,35;0,753333333333333
2016;"Terrestre";"CARINA";"Court";0;0;0,166666666666667;0,786764705882353;1,10108695652174
2017;"Terrestre";"CARINA";"Court";0;0;0;0,666666666666667;2,690625
2018;"Terrestre";"CARINA";"Court";0;0,0833333333333333;0,307692307692308;0,5;0,916666666666667
2019;"Terrestre";"CARINA";"Court";0;0;0;0,75;1,13
2020;"Terrestre";"CARINA";"Court";0;0;0;0,2;3,0125
2021;"Terrestre";"CARINA";"Court";0;0;0;0,416666666666667;1,775
2022;"Terrestre";"CARINA";"Court";0;0;0;0;0,32
2001;"Aquatique";"CARLIS";"Court";0;0;0;0;0
2012;"Aquatique";"CARLIS";"Court";0;0;0;0;0
2017;"Aquatique";"CARLIS";"Court";4;4;4;4;4
2018;"Aquatique";"CARLIS";"Court";3;3;3;3;3
1999;"STOC-rozo";"CARLIS";"Court";0;0;0;0;0
2000;"STOC-rozo";"CARLIS";"Court";0;0;0;0;0
2002;"STOC-rozo";"CARLIS";"Court";0;0;0;0;0
2005;"STOC-rozo";"CARLIS";"Court";0;0;0;0;0
2006;"STOC-rozo";"CARLIS";"Court";0;0;0;0;0
2007;"STOC-rozo";"CARLIS";"Court";0;0;0;0;0
2008;"STOC-rozo";"CARLIS";"Court";0;0;0;0;0
2009;"STOC-rozo";"CARLIS";"Court";0;0;0;0;0
1990;"Terrestre";"CARLIS";"Court";0;0;0;0;0
1991;"Terrestre";"CARLIS";"Court";0;0;0;0,5;0,95
1992;"Terrestre";"CARLIS";"Court";0;0;0;0;0
1993;"Terrestre";"CARLIS";"Court";0;0;0;0;0
1994;"Terrestre";"CARLIS";"Court";0;0;0;0,2;0,38
1995;"Terrestre";"CARLIS";"Court";0;0;0;0;0
1996;"Terrestre";"CARLIS";"Court";0,00624999999999998;0,0625;0,125;0,1875;0,24375
1997;"Terrestre";"CARLIS";"Court";0;0;0;0;0
1998;"Terrestre";"CARLIS";"Court";0;0;0;1,5;2,85
1999;"Terrestre";"CARLIS";"Court";0;0;0;0;0
2000;"Terrestre";"CARLIS";"Court";0;0;0;0;0,65625
2001;"Terrestre";"CARLIS";"Court";0;0;0,142857142857143;0,25;0,325
2002;"Terrestre";"CARLIS";"Court";0;0;0;0;1,5625
2003;"Terrestre";"CARLIS";"Court";0;0;0;0,625;1
2004;"Terrestre";"CARLIS";"Court";0;0;0;0;1,65
2005;"Terrestre";"CARLIS";"Court";0;0;0;0,0625;1,375
2006;"Terrestre";"CARLIS";"Court";0;0;0;0,375;0,925
2007;"Terrestre";"CARLIS";"Court";0;0;0;0,125;0,5
2008;"Terrestre";"CARLIS";"Court";0;0;0;0;0,825
2009;"Terrestre";"CARLIS";"Court";0;0;0;0;0
2010;"Terrestre";"CARLIS";"Court";0;0;0;0,142857142857143;0,228571428571429
2011;"Terrestre";"CARLIS";"Court";0;0;0;1,33333333333333;2,85
2012;"Terrestre";"CARLIS";"Court";0;0;0;0;0,4
2013;"Terrestre";"CARLIS";"Court";0;0;0;0;0,155
2014;"Terrestre";"CARLIS";"Court";0;0;0,125;0,75;4,3125
2015;"Terrestre";"CARLIS";"Court";0;0;0;0,583333333333333;1,65
2016;"Terrestre";"CARLIS";"Court";0;0;0;0,2375;1,45833333333333
2017;"Terrestre";"CARLIS";"Court";0;0;0;0;0,866666666666667
2018;"Terrestre";"CARLIS";"Court";0;0;0;0,333333333333333;3,5
2019;"Terrestre";"CARLIS";"Court";0;0;0;0;0,858333333333333
2020;"Terrestre";"CARLIS";"Court";0;0;0;0,0833333333333333;0,762499999999999
2021;"Terrestre";"CARLIS";"Court";0;0;0;0;2,00833333333333
2022;"Terrestre";"CARLIS";"Court";0;0;0;0,666666666666667;1,8
1990;"Terrestre";"CARMEA";"Court";0;0;0;0;0
1991;"Terrestre";"CARMEA";"Court";0;0;0;0;0
1992;"Terrestre";"CARMEA";"Court";0;0;0;0;0
2009;"Terrestre";"CARMEA";"Court";0;0;0;0;0
2014;"Terrestre";"CARMEA";"Court";0;0;0;0;0
2015;"Terrestre";"CARMEA";"Court";2;2;2;2;2
2009;"Terrestre";"CARNUS";"Court";0,25;0,25;0,25;0,25;0,25
2012;"Terrestre";"CARNUS";"Court";0;0;0;0;0
2014;"Terrestre";"CARNUS";"Court";1,5;1,5;1,5;1,5;1,5
2015;"Terrestre";"CARNUS";"Court";0;0;0;0;0
2017;"Terrestre";"CARNUS";"Court";0;0;0;0;0
2021;"Terrestre";"CARNUS";"Court";0,5;0,5;0,5;0,5;0,5
1990;"Terrestre";"CERRIS";"Court";0;0;0;0;0
1998;"Terrestre";"CERRIS";"Court";0;0;0;0;0
1999;"Terrestre";"CERRIS";"Court";0;0;0;0;0
2000;"Terrestre";"CERRIS";"Court";0;0;0;0;0
2002;"Terrestre";"CERRIS";"Court";1;1;1;1;1
2007;"Terrestre";"CERRIS";"Court";0,0125;0,125;0,25;0,375;0,4875
2008;"Terrestre";"CERRIS";"Court";0;0;0;0;0
2009;"Terrestre";"CERRIS";"Court";1;1;1;1;1
2010;"Terrestre";"CERRIS";"Court";0,0499999999999998;0,5;1;1,5;1,95
2011;"Terrestre";"CERRIS";"Court";1;1;1;1;1
2012;"Terrestre";"CERRIS";"Court";0;0;0;0;0
2013;"Terrestre";"CERRIS";"Court";0;0;0;0;0
2014;"Terrestre";"CERRIS";"Court";0;0;1,5;3,75;5,775
2015;"Terrestre";"CERRIS";"Court";0;0;0;2;2,9
2016;"Terrestre";"CERRIS";"Court";0;0;0;0;0
2017;"Terrestre";"CERRIS";"Court";0;0;0;2,25;3,875
2018;"Terrestre";"CERRIS";"Court";0;0;0;0;0
2019;"Terrestre";"CERRIS";"Court";0,5125;0,625;0,75;0,875;0,9875
2020;"Terrestre";"CERRIS";"Court";0;0;0;0;0,9
2021;"Terrestre";"CERRIS";"Court";0;0;0;0;0
2022;"Terrestre";"CERRIS";"Court";0;0;0;0,25;0,475
2015;"Aquatique";"CERYLA";"Court";2;2;2;2;2
2019;"Aquatique";"CERYLA";"Court";2;2;2;2;2
2003;"STOC-rozo";"CERYLA";"Court";0;0;0;0;0
2005;"STOC-rozo";"CERYLA";"Court";0;0;0;0;0
2011;"STOC-rozo";"CERYLA";"Court";0;0;0;0;0
2014;"STOC-rozo";"CERYLA";"Court";0;0;0;0;0
2016;"STOC-rozo";"CERYLA";"Court";0;0;0;0;0
2018;"STOC-rozo";"CERYLA";"Court";0,5;0,5;0,5;0,5;0,5
2019;"STOC-rozo";"CERYLA";"Court";0,5;0,5;0,5;0,5;0,5
2022;"STOC-rozo";"CERYLA";"Court";0;0;0;0;0
1990;"Terrestre";"CERYLA";"Court";0;0;0;0;0
1991;"Terrestre";"CERYLA";"Court";0;0;0;0;0
1992;"Terrestre";"CERYLA";"Court";0;0;0;0,214285714285714;0,407142857142857
1993;"Terrestre";"CERYLA";"Court";0;0;1;2;3,8
1994;"Terrestre";"CERYLA";"Court";0;0;0;0,125;0,4625
1995;"Terrestre";"CERYLA";"Court";0;0;0,125;0,354166666666667;0,635416666666667
1996;"Terrestre";"CERYLA";"Court";0,0375;0,375;0,75;1,375;1,9375
1997;"Terrestre";"CERYLA";"Court";0,0749999999999997;0,75;1,5;2,25;2,925
1998;"Terrestre";"CERYLA";"Court";0;0;1;1;1,225
1999;"Terrestre";"CERYLA";"Court";0,00499999999999998;0,05;0,1;0,15;0,195
2000;"Terrestre";"CERYLA";"Court";0,025;0,25;1;1;1
2001;"Terrestre";"CERYLA";"Court";0;0;0,1;0,4375;1,825
2002;"Terrestre";"CERYLA";"Court";0;0;0,291666666666667;1;2,35
2003;"Terrestre";"CERYLA";"Court";0;0;0,25;1;2
2004;"Terrestre";"CERYLA";"Court";0;0;0;0,625;2,125
2005;"Terrestre";"CERYLA";"Court";0;0;0,25;0,833333333333333;2,275
2006;"Terrestre";"CERYLA";"Court";0;0;0;1;1,23333333333333
2007;"Terrestre";"CERYLA";"Court";0;0;0,5;1;3,525
2008;"Terrestre";"CERYLA";"Court";0;0;0;0;1
2009;"Terrestre";"CERYLA";"Court";0;0;0;0;1,575
2010;"Terrestre";"CERYLA";"Court";0;0;0;0,5;2,1
2011;"Terrestre";"CERYLA";"Court";0;0;0;1;2,1
2012;"Terrestre";"CERYLA";"Court";0;0;0;1;2
2013;"Terrestre";"CERYLA";"Court";0;0;0;0,5;2,25
2014;"Terrestre";"CERYLA";"Court";0;0;0;0,75;3,6
2015;"Terrestre";"CERYLA";"Court";0;0;0;1;2,61666666666667
2016;"Terrestre";"CERYLA";"Court";0;0;0;0,625;1,525
2017;"Terrestre";"CERYLA";"Court";0;0;0;1;4,9
2018;"Terrestre";"CERYLA";"Court";0;0;0,5;1;1,79166666666667
2019;"Terrestre";"CERYLA";"Court";0;0;0,25;1;2,175
2020;"Terrestre";"CERYLA";"Court";0;0;0,266666666666667;1;4,8375
2021;"Terrestre";"CERYLA";"Court";0;0;0,25;0,833333333333333;2
