"YEAR";"AGE_first";"SP";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
2007;"AD";"PARCAE";"Court";0;0;0;0;0,155;"Terrestre"
2008;"AD";"PARCAE";"Court";0;0;0;0;0,433333333333334;"Terrestre"
2009;"AD";"PARCAE";"Court";0;0;0;0;0,266666666666667;"Terrestre"
2010;"AD";"PARCAE";"Court";0;0;0;0,075;0,4325;"Terrestre"
2011;"AD";"PARCAE";"Court";0;0;0;0;0,125;"Terrestre"
2012;"AD";"PARCAE";"Court";0;0;0;0;0,0666666666666667;"Terrestre"
2013;"AD";"PARCAE";"Court";0;0;0;0;0;"Terrestre"
2014;"AD";"PARCAE";"Court";0;0;0;0;0,253571428571429;"Terrestre"
2015;"AD";"PARCAE";"Court";0;0;0;0,1875;0,385;"Terrestre"
2016;"AD";"PARCAE";"Court";0;0;0;0;0,103125;"Terrestre"
2017;"AD";"PARCAE";"Court";0;0;0;0;0,188571428571429;"Terrestre"
2018;"AD";"PARCAE";"Court";0;0;0;0;0,4;"Terrestre"
2019;"AD";"PARCAE";"Court";0;0;0;0;0;"Terrestre"
2020;"AD";"PARCAE";"Court";0;0;0;0,107142857142857;0,236607142857143;"Terrestre"
2021;"AD";"PARCAE";"Court";0;0;0;0;0,114285714285714;"Terrestre"
1989;"JUV";"PARCAE";"Court";0;0;0;0;0;"Terrestre"
1990;"JUV";"PARCAE";"Court";0;0;0;0,111111111111111;0,211111111111111;"Terrestre"
1991;"JUV";"PARCAE";"Court";0;0;0;0,00892857142857143;0,0330357142857143;"Terrestre"
1992;"JUV";"PARCAE";"Court";0;0;0,0185185185185185;0,0833333333333333;0,208333333333333;"Terrestre"
1993;"JUV";"PARCAE";"Court";0;0;0;0,0104166666666667;0,0385416666666667;"Terrestre"
1994;"JUV";"PARCAE";"Court";0;0;0;0;0;"Terrestre"
1995;"JUV";"PARCAE";"Court";0;0;0;0;0;"Terrestre"
1996;"JUV";"PARCAE";"Court";0;0;0;0;0;"Terrestre"
1997;"JUV";"PARCAE";"Court";0;0;0;0;0;"Terrestre"
1998;"JUV";"PARCAE";"Court";0;0;0;0;0;"Terrestre"
1999;"JUV";"PARCAE";"Court";0;0;0;0;0;"Terrestre"
2000;"JUV";"PARCAE";"Court";0;0;0;0;0;"Terrestre"
2001;"JUV";"PARCAE";"Court";0;0;0;0,166666666666667;0,316666666666667;"Terrestre"
2002;"JUV";"PARCAE";"Court";0;0;0;0;0,0972222222222222;"Terrestre"
2003;"JUV";"PARCAE";"Court";0;0;0,0769230769230769;0,0810810810810811;0,166931637519873;"Terrestre"
2004;"JUV";"PARCAE";"Court";0;0;0;0;0,261538461538461;"Terrestre"
2005;"JUV";"PARCAE";"Court";0;0;0;0;0,0471428571428572;"Terrestre"
2006;"JUV";"PARCAE";"Court";0;0;0;0;0,0425;"Terrestre"
2007;"JUV";"PARCAE";"Court";0;0;0;0,05;0,125396825396825;"Terrestre"
2008;"JUV";"PARCAE";"Court";0;0;0;0;0;"Terrestre"
2009;"JUV";"PARCAE";"Court";0;0;0;0,025;0,28125;"Terrestre"
2010;"JUV";"PARCAE";"Court";0;0;0;0;0,0704545454545455;"Terrestre"
2011;"JUV";"PARCAE";"Court";0;0;0;0;0,0576923076923077;"Terrestre"
2012;"JUV";"PARCAE";"Court";0;0;0;0;0;"Terrestre"
2013;"JUV";"PARCAE";"Court";0;0;0;0;0;"Terrestre"
2014;"JUV";"PARCAE";"Court";0;0;0;0,0113636363636364;0,0988888888888889;"Terrestre"
2015;"JUV";"PARCAE";"Court";0;0;0;0,0576923076923077;0,129464285714286;"Terrestre"
2016;"JUV";"PARCAE";"Court";0;0;0;0,126358695652174;0,187826086956522;"Terrestre"
2017;"JUV";"PARCAE";"Court";0;0;0;0;0,0660439560439561;"Terrestre"
2018;"JUV";"PARCAE";"Court";0;0;0;0;0,0727272727272728;"Terrestre"
2019;"JUV";"PARCAE";"Court";0;0;0;0;0,126315789473684;"Terrestre"
2020;"JUV";"PARCAE";"Court";0;0;0;0;0,0894736842105263;"Terrestre"
2021;"JUV";"PARCAE";"Court";0;0;0;0;0,0916666666666667;"Terrestre"
1989;"AD";"PARMAJ";"Court";0,00555555555555554;0,0555555555555556;0,111111111111111;0,166666666666667;0,216666666666667;"Terrestre"
1990;"AD";"PARMAJ";"Court";0;0;0;0,1;0,316666666666667;"Terrestre"
1991;"AD";"PARMAJ";"Court";0;0;0;0;0,3875;"Terrestre"
1992;"AD";"PARMAJ";"Court";0;0;0;0;0,629166666666667;"Terrestre"
1993;"AD";"PARMAJ";"Court";0;0;0;0,0769230769230769;0,158333333333333;"Terrestre"
1994;"AD";"PARMAJ";"Court";0;0;0;0,233333333333333;0,333333333333333;"Terrestre"
1995;"AD";"PARMAJ";"Court";0;0;0;0;0,333333333333333;"Terrestre"
1996;"AD";"PARMAJ";"Court";0;0;0;0;0,1375;"Terrestre"
1997;"AD";"PARMAJ";"Court";0;0;0;0;0;"Terrestre"
1998;"AD";"PARMAJ";"Court";0;0;0;0,03125;0,296875;"Terrestre"
1999;"AD";"PARMAJ";"Court";0;0;0;0;0,242857142857143;"Terrestre"
2000;"AD";"PARMAJ";"Court";0;0;0;0;0,766666666666667;"Terrestre"
2001;"AD";"PARMAJ";"Court";0;0;0;0;0,408333333333333;"Terrestre"
2002;"AD";"PARMAJ";"Court";0;0;0;0,236111111111111;0,825;"Terrestre"
2003;"AD";"PARMAJ";"Court";0;0;0;0,142857142857143;0,45;"Terrestre"
2004;"AD";"PARMAJ";"Court";0;0;0;0,142857142857143;0,420833333333333;"Terrestre"
2005;"AD";"PARMAJ";"Court";0;0;0;0,1;0,57142857142857;"Terrestre"
2006;"AD";"PARMAJ";"Court";0;0;0;0;0,264999999999999;"Terrestre"
2007;"AD";"PARMAJ";"Court";0;0;0;0,1125;0,375;"Terrestre"
2008;"AD";"PARMAJ";"Court";0;0;0;0,108333333333333;0,340714285714285;"Terrestre"
2009;"AD";"PARMAJ";"Court";0;0;0;0,142857142857143;0,516666666666667;"Terrestre"
2010;"AD";"PARMAJ";"Court";0;0;0;0,0666666666666667;0,466666666666669;"Terrestre"
2011;"AD";"PARMAJ";"Court";0;0;0;0,1;0,333333333333333;"Terrestre"
2012;"AD";"PARMAJ";"Court";0;0;0;0;0,304166666666666;"Terrestre"
2013;"AD";"PARMAJ";"Court";0;0;0;0,0714285714285714;0,3625;"Terrestre"
2014;"AD";"PARMAJ";"Court";0;0;0;0;0,161428571428571;"Terrestre"
2015;"AD";"PARMAJ";"Court";0;0;0;0;0,5;"Terrestre"
2016;"AD";"PARMAJ";"Court";0;0;0;0;0,4275;"Terrestre"
2017;"AD";"PARMAJ";"Court";0;0;0;0,166666666666667;0,4375;"Terrestre"
2018;"AD";"PARMAJ";"Court";0;0;0;0,142857142857143;0,273333333333333;"Terrestre"
2019;"AD";"PARMAJ";"Court";0;0;0;0;0,341666666666666;"Terrestre"
2020;"AD";"PARMAJ";"Court";0;0;0;0,0714285714285714;0,349999999999999;"Terrestre"
2021;"AD";"PARMAJ";"Court";0;0;0;0;0,253571428571428;"Terrestre"
1989;"JUV";"PARMAJ";"Court";0;0;0;0;0;"Terrestre"
1990;"JUV";"PARMAJ";"Court";0;0;0;0,0222222222222222;0,0914542728635682;"Terrestre"
1991;"JUV";"PARMAJ";"Court";0;0;0;0;0,0775;"Terrestre"
1992;"JUV";"PARMAJ";"Court";0;0;0;0,03125;0,0685924369747899;"Terrestre"
1993;"JUV";"PARMAJ";"Court";0;0;0;0;0,0681216931216931;"Terrestre"
1994;"JUV";"PARMAJ";"Court";0;0;0;0,027027027027027;0,433108108108108;"Terrestre"
1995;"JUV";"PARMAJ";"Court";0;0;0;0;0,103125;"Terrestre"
1996;"JUV";"PARMAJ";"Court";0;0;0;0;0,0485294117647059;"Terrestre"
1997;"JUV";"PARMAJ";"Court";0;0;0;0,0576923076923077;0,0888111888111888;"Terrestre"
1998;"JUV";"PARMAJ";"Court";0;0;0;0;0,0614906832298137;"Terrestre"
1999;"JUV";"PARMAJ";"Court";0;0;0,0454545454545455;0,0643939393939394;0,101973684210526;"Terrestre"
2000;"JUV";"PARMAJ";"Court";0;0;0;0;0,0696428571428571;"Terrestre"
2001;"JUV";"PARMAJ";"Court";0;0;0;0,063894523326572;0,255952380952381;"Terrestre"
2002;"JUV";"PARMAJ";"Court";0;0;0;0,0227272727272727;0,71875;"Terrestre"
2003;"JUV";"PARMAJ";"Court";0;0;0;0,01;0,100694444444444;"Terrestre"
2004;"JUV";"PARMAJ";"Court";0;0;0;0;0,105555555555556;"Terrestre"
2005;"JUV";"PARMAJ";"Court";0;0;0;0;0,0602941176470588;"Terrestre"
2006;"JUV";"PARMAJ";"Court";0;0;0;0;0,130316091954023;"Terrestre"
2007;"JUV";"PARMAJ";"Court";0;0;0;0,0494117647058823;0,189935064935065;"Terrestre"
2008;"JUV";"PARMAJ";"Court";0;0;0;0;0,09375;"Terrestre"
2009;"JUV";"PARMAJ";"Court";0;0;0;0,0178571428571429;0,232692307692308;"Terrestre"
2010;"JUV";"PARMAJ";"Court";0;0;0;0;0,0952380952380954;"Terrestre"
2011;"JUV";"PARMAJ";"Court";0;0;0;0,0789473684210526;0,186013986013986;"Terrestre"
2012;"JUV";"PARMAJ";"Court";0;0;0;0;0,0578007518796992;"Terrestre"
2013;"JUV";"PARMAJ";"Court";0;0;0;0;0,264880952380952;"Terrestre"
2014;"JUV";"PARMAJ";"Court";0;0;0;0,0435606060606061;0,148809523809524;"Terrestre"
2015;"JUV";"PARMAJ";"Court";0;0;0;0;0,129910714285714;"Terrestre"
2016;"JUV";"PARMAJ";"Court";0;0;0;0;0,19047619047619;"Terrestre"
2017;"JUV";"PARMAJ";"Court";0;0;0;0,0833333333333333;0,203333333333334;"Terrestre"
2018;"JUV";"PARMAJ";"Court";0;0;0;0;0,213333333333334;"Terrestre"
2019;"JUV";"PARMAJ";"Court";0;0;0;0;0,179166666666666;"Terrestre"
2020;"JUV";"PARMAJ";"Court";0;0;0;0,0526315789473684;0,1675;"Terrestre"
2021;"JUV";"PARMAJ";"Court";0;0;0;0;0,126875;"Terrestre"
1989;"AD";"PHYCOL";"Court";0,00277777777777777;0,0277777777777778;0,0555555555555556;0,0833333333333333;0,108333333333333;"Terrestre"
1990;"AD";"PHYCOL";"Court";0;0;0,0852300242130751;0,106643356643357;0,181610576923077;"Terrestre"
1991;"AD";"PHYCOL";"Court";0;0;0;0,0566239316239316;0,202777777777778;"Terrestre"
1992;"AD";"PHYCOL";"Court";0;0;0;0,0454545454545455;0,26155303030303;"Terrestre"
1993;"AD";"PHYCOL";"Court";0;0;0;0,203448275862069;0,243534482758621;"Terrestre"
1994;"AD";"PHYCOL";"Court";0;0;0,148148148148148;0,153846153846154;0,272527472527473;"Terrestre"
1995;"AD";"PHYCOL";"Court";0;0;0;0,0625;0,140046296296296;"Terrestre"
1996;"AD";"PHYCOL";"Court";0;0;0,0952380952380952;0,1;0,31;"Terrestre"
1997;"AD";"PHYCOL";"Court";0;0;0,0227272727272727;0,0454545454545455;0,0603693181818182;"Terrestre"
1998;"AD";"PHYCOL";"Court";0;0;0;0;0,05625;"Terrestre"
1999;"AD";"PHYCOL";"Court";0,00769230769230766;0,0769230769230769;0,153846153846154;0,230769230769231;0,3;"Terrestre"
2000;"AD";"PHYCOL";"Court";0;0;0;0,0833333333333333;0,177951388888889;"Terrestre"
2001;"AD";"PHYCOL";"Court";0;0;0,05;0,110714285714286;0,19;"Terrestre"
2002;"AD";"PHYCOL";"Court";0;0;0,0625;0,13695652173913;0,24698275862069;"Terrestre"
2003;"AD";"PHYCOL";"Court";0;0;0;0,0769230769230769;0,26031746031746;"Terrestre"
2004;"AD";"PHYCOL";"Court";0;0;0;0,0413461538461539;0,184801136363636;"Terrestre"
2005;"AD";"PHYCOL";"Court";0;0;0;0;0,096875;"Terrestre"
2006;"AD";"PHYCOL";"Court";0;0;0;0,107142857142857;0,395833333333333;"Terrestre"
2007;"AD";"PHYCOL";"Court";0;0;0;0,111111111111111;0,4;"Terrestre"
2008;"AD";"PHYCOL";"Court";0;0;0;0,0875;0,146428571428571;"Terrestre"
2009;"AD";"PHYCOL";"Court";0;0;0;0,0954545454545455;0,425;"Terrestre"
2010;"AD";"PHYCOL";"Court";0;0;0;0,1;0,194444444444444;"Terrestre"
2011;"AD";"PHYCOL";"Court";0;0;0;0,114583333333333;0,184722222222222;"Terrestre"
2012;"AD";"PHYCOL";"Court";0;0;0;0,142857142857143;0,549999999999999;"Terrestre"
2013;"AD";"PHYCOL";"Court";0;0;0;0,142857142857143;0,288461538461538;"Terrestre"
2014;"AD";"PHYCOL";"Court";0;0;0;0,0931818181818182;0,241666666666666;"Terrestre"
2015;"AD";"PHYCOL";"Court";0;0;0;0,121428571428571;0,35;"Terrestre"
2016;"AD";"PHYCOL";"Court";0;0;0;0,122222222222222;0,276785714285714;"Terrestre"
2017;"AD";"PHYCOL";"Court";0;0;0;0,114583333333333;0,4125;"Terrestre"
2018;"AD";"PHYCOL";"Court";0;0;0;0,134920634920635;0,419999999999999;"Terrestre"
2019;"AD";"PHYCOL";"Court";0;0;0;0,0801282051282051;0,30375;"Terrestre"
2020;"AD";"PHYCOL";"Court";0;0;0;0,1;0,290476190476191;"Terrestre"
2021;"AD";"PHYCOL";"Court";0;0;0;0,102777777777778;0,197159090909091;"Terrestre"
1989;"JUV";"PHYCOL";"Court";0,00202702702702702;0,0202702702702703;0,0405405405405405;0,0608108108108108;0,0790540540540541;"Terrestre"
1990;"JUV";"PHYCOL";"Court";0;0;0;0,0230987917555082;0,173333333333333;"Terrestre"
1991;"JUV";"PHYCOL";"Court";0;0;0;0;0;"Terrestre"
1992;"JUV";"PHYCOL";"Court";0;0;0;0;0,10625;"Terrestre"
1993;"JUV";"PHYCOL";"Court";0;0;0;0,0181818181818182;0,16;"Terrestre"
1994;"JUV";"PHYCOL";"Court";0;0;0;0;0;"Terrestre"
1995;"JUV";"PHYCOL";"Court";0;0;0;0;0;"Terrestre"
1996;"JUV";"PHYCOL";"Court";0;0;0;0;0;"Terrestre"
1997;"JUV";"PHYCOL";"Court";0;0;0;0;0,0460526315789474;"Terrestre"
1998;"JUV";"PHYCOL";"Court";0;0;0;0;0;"Terrestre"
1999;"JUV";"PHYCOL";"Court";0;0;0;0;0;"Terrestre"
2000;"JUV";"PHYCOL";"Court";0;0;0;0,0555555555555556;0,125555555555556;"Terrestre"
2001;"JUV";"PHYCOL";"Court";0;0;0;0;0,034375;"Terrestre"
2002;"JUV";"PHYCOL";"Court";0;0;0;0;0,101388888888889;"Terrestre"
2003;"JUV";"PHYCOL";"Court";0;0;0;0;0,1;"Terrestre"
2004;"JUV";"PHYCOL";"Court";0;0;0;0;0;"Terrestre"
2005;"JUV";"PHYCOL";"Court";0;0;0;0;0;"Terrestre"
2006;"JUV";"PHYCOL";"Court";0;0;0;0;0;"Terrestre"
2007;"JUV";"PHYCOL";"Court";0;0;0;0;0,131666666666667;"Terrestre"
2008;"JUV";"PHYCOL";"Court";0;0;0;0;0,127916666666667;"Terrestre"
2009;"JUV";"PHYCOL";"Court";0;0;0;0;0,0653846153846155;"Terrestre"
2010;"JUV";"PHYCOL";"Court";0;0;0;0;0,0403846153846153;"Terrestre"
2011;"JUV";"PHYCOL";"Court";0;0;0;0;0,210714285714285;"Terrestre"
2012;"JUV";"PHYCOL";"Court";0;0;0;0;0,0354166666666667;"Terrestre"
2013;"JUV";"PHYCOL";"Court";0;0;0;0;0,0233333333333332;"Terrestre"
2014;"JUV";"PHYCOL";"Court";0;0;0;0;0,161111111111111;"Terrestre"
2015;"JUV";"PHYCOL";"Court";0;0;0;0;0,142857142857143;"Terrestre"
2016;"JUV";"PHYCOL";"Court";0;0;0;0;0,125;"Terrestre"
2017;"JUV";"PHYCOL";"Court";0;0;0;0;0,0333333333333338;"Terrestre"
2018;"JUV";"PHYCOL";"Court";0;0;0;0;0,183333333333334;"Terrestre"
2019;"JUV";"PHYCOL";"Court";0;0;0;0;0,144642857142857;"Terrestre"
2020;"JUV";"PHYCOL";"Court";0;0;0;0;0;"Terrestre"
2021;"JUV";"PHYCOL";"Court";0;0;0;0;0,108333333333333;"Terrestre"
1989;"AD";"PRUMOD";"Court";0,2;0,2;0,2;0,2;0,2;"Terrestre"
1990;"AD";"PRUMOD";"Court";0,002;0,02;0,04;0,0914285714285714;0,137714285714286;"Terrestre"
1991;"AD";"PRUMOD";"Court";0,00714285714285715;0,0714285714285714;0,142857142857143;0,207792207792208;0,266233766233766;"Terrestre"
1992;"AD";"PRUMOD";"Court";0;0;0;0,0555555555555556;0,105555555555556;"Terrestre"
1993;"AD";"PRUMOD";"Court";0,00555555555555554;0,0555555555555556;0,111111111111111;0,166666666666667;0,216666666666667;"Terrestre"
1994;"AD";"PRUMOD";"Court";0;0;0;0;0;"Terrestre"
1995;"AD";"PRUMOD";"Court";0,00999999999999997;0,1;0,2;0,3;0,39;"Terrestre"
1996;"AD";"PRUMOD";"Court";0;0;0;0;0;"Terrestre"
1997;"AD";"PRUMOD";"Court";0,428571428571429;0,428571428571429;0,428571428571429;0,428571428571429;0,428571428571429;"Terrestre"
1998;"AD";"PRUMOD";"Court";0;0;0;0;0;"Terrestre"
2000;"AD";"PRUMOD";"Court";0;0;0;0;0;"Terrestre"
2001;"AD";"PRUMOD";"Court";0;0;0;0,0735294117647059;0,272058823529412;"Terrestre"
2002;"AD";"PRUMOD";"Court";0;0;0,1;0,261111111111111;0,426111111111111;"Terrestre"
2003;"AD";"PRUMOD";"Court";0;0;0,0666666666666667;0,19047619047619;0,244047619047619;"Terrestre"
2004;"AD";"PRUMOD";"Court";0;0;0,181818181818182;0,207142857142857;0,221031746031746;"Terrestre"
2005;"AD";"PRUMOD";"Court";0;0;0;0,0526315789473684;0,258646616541353;"Terrestre"
2006;"AD";"PRUMOD";"Court";0;0,1;0,222222222222222;0,339285714285714;0,630952380952381;"Terrestre"
2007;"AD";"PRUMOD";"Court";0;0,0833333333333333;0,194444444444444;0,333333333333333;0,393125;"Terrestre"
2008;"AD";"PRUMOD";"Court";0;0;0;0,2;0,566666666666666;"Terrestre"
2009;"AD";"PRUMOD";"Court";0;0;0,190909090909091;0,364583333333333;0,5775;"Terrestre"
2010;"AD";"PRUMOD";"Court";0;0;0,121428571428571;0,221428571428571;0,325;"Terrestre"
2011;"AD";"PRUMOD";"Court";0;0,05;0,111111111111111;0,233766233766234;0,429220779220779;"Terrestre"
2012;"AD";"PRUMOD";"Court";0;0;0;0,193181818181818;0,322727272727273;"Terrestre"
2013;"AD";"PRUMOD";"Court";0;0;0,0714285714285714;0,196428571428571;0,551785714285714;"Terrestre"
2014;"AD";"PRUMOD";"Court";0;0;0,0882352941176471;0,205555555555556;0,348263888888889;"Terrestre"
2015;"AD";"PRUMOD";"Court";0;0;0,1;0,333333333333333;0,388333333333333;"Terrestre"
2016;"AD";"PRUMOD";"Court";0;0;0;0,256535947712418;0,325;"Terrestre"
2017;"AD";"PRUMOD";"Court";0,20625;0,25;0,25;0,293269230769231;0,330128205128205;"Terrestre"
2018;"AD";"PRUMOD";"Court";0;0;0,222222222222222;0,4;0,546031746031746;"Terrestre"
2019;"AD";"PRUMOD";"Court";0;0;0,0555555555555556;0,207692307692308;0,276098901098901;"Terrestre"
2020;"AD";"PRUMOD";"Court";0;0,0357142857142857;0,183333333333333;0,254545454545455;0,436666666666667;"Terrestre"
2021;"AD";"PRUMOD";"Court";0;0;0;0,226495726495726;0,583333333333333;"Terrestre"
1989;"JUV";"PRUMOD";"Court";0;0;0;0;0;"Terrestre"
1990;"JUV";"PRUMOD";"Court";0;0;0;0,25;0,475;"Terrestre"
1991;"JUV";"PRUMOD";"Court";0;0;0;0;0;"Terrestre"
1992;"JUV";"PRUMOD";"Court";0;0;0;0;0;"Terrestre"
